cohort_month,activity_month,transaction_count,incident_count,incident_rate,initial_users,unique_users,retention_rate,total_revenue
2020-06-01,2020-11-01,4,0.0,0.0,1338,4,0.0029895366218236174,350.0
2020-07-01,2020-07-01,1736,0.0,0.0,1294,1294,1.0,157294.0
2020-07-01,2020-08-01,856,0.0,0.0,1294,646,0.4992272024729521,70728.0
2020-07-01,2020-09-01,566,0.0,0.0,1294,484,0.3740340030911901,46555.0
2020-07-01,2020-10-01,570,0.0,0.0,1294,511,0.3948995363214838,45800.0
2020-07-01,2020-11-01,7,0.0,0.0,1294,7,0.005409582689335394,500.0
2020-08-01,2020-08-01,894,0.0,0.0,656,656,1.0,70375.0
2020-08-01,2020-09-01,328,0.0,0.0,656,279,0.4253048780487805,23870.0
2020-08-01,2020-10-01,278,0.0,0.0,656,244,0.3719512195121951,21830.0
2020-08-01,2020-11-01,10,0.0,0.0,656,10,0.01524390243902439,675.0
2020-09-01,2020-09-01,1909,0.0,0.0,1712,1712,1.0,146542.0
2020-09-01,2020-10-01,707,0.0,0.0,1712,660,0.3855140186915888,48750.0
2020-09-01,2020-11-01,20,0.0,0.0,1712,20,0.011682242990654205,1475.0
2020-10-01,2020-10-01,4928,0.0,0.0,4694,4694,1.0,338830.0
2020-10-01,2020-11-01,15,0.0,0.0,4694,15,0.0031955688112484024,1200.0
2020-11-01,2020-11-01,75,0.0,0.0,75,75,1.0,5810.0
